GEO,GEOID2,MMHI,error
1500000US060014283013,60014283013,121827,19646
1500000US060014283014,60014283014,124306,68887
1500000US060014283021,60014283021,133935,59850
1500000US060014283022,60014283022,115893,33144
1500000US060014283023,60014283023,137841,10540
1500000US060014284001,60014284001,90417,19597
1500000US060014284002,60014284002,51321,24624
1500000US060014284003,60014284003,74904,13596
1500000US060014285001,60014285001,77386,15422
1500000US060014285002,60014285002,82727,53173
1500000US060014286001,60014286001,85595,18584
1500000US060014286002,60014286002,62136,14538
1500000US060014286003,60014286003,98917,20391
1500000US060014287001,60014287001,65000,21928
1500000US060014287002,60014287002,29063,17118
1500000US060014301011,60014301011,90052,26130
1500000US060014301012,60014301012,140217,24809
1500000US060014301013,60014301013,126146,30644
1500000US060014301021,60014301021,125132,10727
1500000US060014302001,60014302001,131923,35962
1500000US060014302002,60014302002,116563,18304
1500000US060014302003,60014302003,96486,14152
1500000US060014302004,60014302004,127768,53108
1500000US060014302005,60014302005,113906,37120
1500000US060014303001,60014303001,113616,18975
1500000US060014303002,60014303002,104844,34735
1500000US060014303003,60014303003,125250,31543
1500000US060014304001,60014304001,138438,34023
1500000US060014304002,60014304002,113523,37203
1500000US060014305001,60014305001,113816,55743
1500000US060014305002,60014305002,44738,12079
1500000US060014305003,60014305003,76579,21587
1500000US060014306001,60014306001,100250,46781
1500000US060014306002,60014306002,-,**
1500000US060014306003,60014306003,104875,31268
1500000US060014306004,60014306004,116250,66126
1500000US060014307001,60014307001,102656,22666
1500000US060014307002,60014307002,86500,22262
1500000US060014307003,60014307003,120909,27318
1500000US060014308001,60014308001,80000,77030
1500000US060014308002,60014308002,122095,52176
1500000US060014308003,60014308003,77276,32964
1500000US060014308004,60014308004,55827,25574
1500000US060014309001,60014309001,74806,7197
1500000US060014309002,60014309002,46761,10687
1500000US060014310001,60014310001,46250,23275
1500000US060014310002,60014310002,74460,8132
1500000US060014311001,60014311001,80208,18462
1500000US060014311002,60014311002,65368,20383
1500000US060014312001,60014312001,50729,42499
1500000US060014312002,60014312002,54968,31669
1500000US060014312003,60014312003,100329,14300
1500000US060014321001,60014321001,106042,15334
1500000US060014321002,60014321002,95375,62063
1500000US060014321003,60014321003,163125,58557
1500000US060014322001,60014322001,60817,31734
1500000US060014322002,60014322002,108988,24192
1500000US060014322003,60014322003,59149,8251
1500000US060014323001,60014323001,79068,10312
1500000US060014323002,60014323002,58125,32031
1500000US060014323003,60014323003,100625,16383
1500000US060014324001,60014324001,66809,23607
1500000US060014324002,60014324002,74333,13460
1500000US060014324003,60014324003,47379,12207
1500000US060014325011,60014325011,68947,18769
1500000US060014325012,60014325012,51111,19655
1500000US060014325013,60014325013,53721,4093
1500000US060014325021,60014325021,73804,23340
1500000US060014325022,60014325022,60417,43793
1500000US060014325023,60014325023,60278,13598
1500000US060014326001,60014326001,58889,22406
1500000US060014326002,60014326002,51563,12481
1500000US060014326003,60014326003,53934,29162
1500000US060014326004,60014326004,48560,40761
1500000US060014326005,60014326005,58371,5499
1500000US060014327001,60014327001,107232,52122
1500000US060014327002,60014327002,71083,18005
1500000US060014327003,60014327003,82813,23434
1500000US060014328001,60014328001,162768,61118
1500000US060014328002,60014328002,114575,22424
1500000US060014328003,60014328003,83571,19100
1500000US060014330001,60014330001,78415,25945
1500000US060014330002,60014330002,84792,18372
1500000US060014330003,60014330003,86932,21111
1500000US060014330004,60014330004,63409,15453
1500000US060014331021,60014331021,65551,12813
1500000US060014331022,60014331022,98021,24371
1500000US060014331031,60014331031,54449,9179
1500000US060014331032,60014331032,36766,14075
1500000US060014331041,60014331041,42250,17411
1500000US060014331042,60014331042,41029,22984
1500000US060014331043,60014331043,53668,6574
1500000US060014332001,60014332001,-,**
1500000US060014332002,60014332002,42413,34661
1500000US060014332003,60014332003,30750,12482
1500000US060014332004,60014332004,46250,39460
1500000US060014333001,60014333001,-,**
1500000US060014333002,60014333002,67472,11240
1500000US060014333003,60014333003,78912,40124
1500000US060014333004,60014333004,67969,51657
1500000US060014333005,60014333005,104250,75176
1500000US060014334001,60014334001,64500,53803
1500000US060014334002,60014334002,109118,59172
1500000US060014334003,60014334003,75865,38564
1500000US060014334004,60014334004,151042,49905
1500000US060014334005,60014334005,121250,42027
1500000US060014334006,60014334006,79898,35864
1500000US060014335001,60014335001,68646,41633
1500000US060014335002,60014335002,90000,26843
1500000US060014335003,60014335003,91484,34956
1500000US060014335004,60014335004,82266,20857
1500000US060014336001,60014336001,81425,25904
1500000US060014336002,60014336002,47023,21413
1500000US060014336003,60014336003,94028,33152
1500000US060014336004,60014336004,43652,10899
1500000US060014337001,60014337001,75139,17288
1500000US060014337002,60014337002,74679,22788
1500000US060014337003,60014337003,56895,24636
1500000US060014338001,60014338001,60190,11248
1500000US060014338002,60014338002,46544,23515
1500000US060014338003,60014338003,51560,8478
1500000US060014338004,60014338004,114548,11862
1500000US060014339001,60014339001,42230,10895
1500000US060014339002,60014339002,36313,29158
1500000US060014339003,60014339003,57647,55386
1500000US060014339004,60014339004,46676,16557
1500000US060014340001,60014340001,45313,10016
1500000US060014340002,60014340002,51525,3857
1500000US060014340003,60014340003,38750,21877
1500000US060014351021,60014351021,102700,16832
1500000US060014351022,60014351022,113313,24047
1500000US060014351031,60014351031,202934,81955
1500000US060014351032,60014351032,152639,33222
1500000US060014351033,60014351033,193250,63460
1500000US060014351041,60014351041,76875,20999
1500000US060014351042,60014351042,46349,10407
1500000US060014351043,60014351043,-,**
1500000US060014352001,60014352001,103750,29104
1500000US060014352002,60014352002,93750,25783
1500000US060014353001,60014353001,104444,30790
1500000US060014353002,60014353002,61679,13663
1500000US060014353003,60014353003,75000,39577
1500000US060014354001,60014354001,54107,8865
1500000US060014354002,60014354002,54524,26204
1500000US060014354003,60014354003,57917,33657
